Crimes,Spring,Summer,Autumn,Winter,ALL_SEASONS
[MISCELLANEOUS PENAL LAW] AGGRAVATED HARASSMENT 1,,,,,
"[GAMBLING] GAMBLING 1,PROMOTING,POLICY",,,,,
"[NEW YORK CITY HEALTH CODE] HEALTH CODE,VIOLATION",,,,,
"[BURGLARY] BURGLARY,UNCLASSIFIED,NIGHT",-0.008740875163393958,-0.007303667382803654,-0.009572310714109529,-0.0072963252145650005,-0.008369342420193767
"[OTHER OFFENSES RELATED TO THEF] THEFT OF SERVICES, UNCLASSIFIE",,,,,
[DANGEROUS DRUGS] SALES OF PRESCRIPTION,,,,,
"[PETIT LARCENY] LARCENY,PETIT BY CHECK USE",,,,,
"[DANGEROUS DRUGS] CONTROLLED SUBSTANCE,SALE 2",,,,,
"[MISCELLANEOUS PENAL LAW] TRESPASS 4,CRIMINAL SUB 2",,,,,
"[ROBBERY] ROBBERY,CHECK CASHING BUSINESS",,,,,
[OFFENSES AGAINST PUBLIC ADMINI] RESISTING ARREST,,,,,
"[MISCELLANEOUS PENAL LAW] CONSPIRACY 2, 1",,,,,
[OTHER STATE LAWS (NON PENAL LA] NAVIGATION LAW,,,,,
"[OTHER TRAFFIC INFRACTION] TRAFFIC,UNCLASSIFIED INFRACTIO",,,,,
"[SEX CRIMES] CHILD, ENDANGERING WELFARE",,,,,
"[ANTICIPATORY OFFENSES] FACILITATION 4, CRIMINAL",0.007819878160881012,0.007141734301278891,0.010685514262318993,0.010497945547823876,0.009275230341840301
[SEX CRIMES] SODOMY 1,,,,,
[MURDER & NON-NEGL. MANSLAUGHTER] Not Stated,,,,,
[PROSTITUTION & RELATED OFFENSES] SEX TRAFFICKING,,,,,
"[ARSON] ARSON, MOTOR VEHICLE 1 2 3 & 4",-0.02918810956242688,-0.031634403240517785,-0.031210866917418062,-0.027400323349718515,-0.030318158956978918
"[DANGEROUS DRUGS] MARIJUANA, POSSESSION 4 & 5",,,,,
"[ROBBERY] ROBBERY,BICYCLE",,,,,
[MISCELLANEOUS PENAL LAW] VEHICULAR ASSAULT (INTOX DRIVE,,,,,
"[ROBBERY] ROBBERY, CHAIN STORE",,,,,
[MISCELLANEOUS PENAL LAW] AGGRAVATED CRIMINAL CONTEMPT,,,,,
"[BURGLARY] BURGLARY,COMMERCIAL,NIGHT",-0.017303759787351967,-0.021954433315207664,-0.021810298192871082,-0.019966118819735076,-0.020637794154309403
"[GRAND LARCENY OF MOTOR VEHICLE] LARCENY,GRAND OF TRUCK",,,,,
"[CRIMINAL MISCHIEF & RELATED OF] MISCHIEF,CRIMINAL,    UNCL 2ND",,,,,
[CRIMINAL MISCHIEF & RELATED OF] CRIMINAL MIS 2 & 3,,,,,
"[BURGLARY] BURGLARY,RESIDENCE,UNKNOWN TIM",-0.012238084415244647,-0.014559292707020995,-0.010566264263954395,-0.015194288329641446,-0.01335369847346307
TAX LAW,0.0018445778285346543,0.012777875761558153,0.010979213637760077,0.004621328065960469,0.00770973595174832
[FELONY ASSAULT] STRANGULATION 1ST,,,,,
"[GRAND LARCENY] LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",,,,,
[FRAUDS] COMPUTER UNAUTH. USE/TAMPER,,,,,
"[MISCELLANEOUS PENAL LAW] MARIJUANA, POSSESSION",,,,,
"[ROBBERY] ROBBERY,NECKCHAIN/JEWELRY",,,,,
[SEX CRIMES] SODOMY 2,,,,,
[MISCELLANEOUS PENAL LAW] RIOT 1,,,,,
"[ANTICIPATORY OFFENSES] SOLICITATION 4, CRIMINAL",,,,,
[UNLAWFUL POSS. WEAP. ON SCHOOL] UNLAWFUL POSS. WEAPON UPON SCH,,,,,
"[DISRUPTION OF A RELIGIOUS SERV] DIS. CON.,AGGRAVATED",,,,,
[MISCELLANEOUS PENAL LAW] EXPOSURE OF A PERSON,,,,,
"[PROSTITUTION & RELATED OFFENSES] PROSTITUTION 4,PROMOTING&SECUR",,,,,
"[OTHER STATE LAWS (NON PENAL LA] PUBLIC HEALTH LAW,UNCLASSIFIED",,,,,
"[ASSAULT 3 & RELATED OFFENSES] MENACING,PEACE OFFICER",,,,,
[OTHER STATE LAWS (NON PENAL LA] TAX LAW,,,,,
[ASSAULT 3 & RELATED OFFENSES] OBSTR BREATH/CIRCUL,-0.012238084415244817,-0.01170522032253715,-0.013146976498245564,-0.008393131418164022,-0.011514346066649972
[ASSAULT 3 & RELATED OFFENSES] ASSAULT 3,-0.06864894811315625,-0.08495760666177742,-0.09302871782225534,-0.06815079716131218,-0.08010465726031991
"[PETIT LARCENY] LARCENY,PETIT OF VEHICLE ACCES",,,,,
"[GRAND LARCENY] LARCENY,GRAND FROM PERSON,UNCL",,,,,
"[MISCELLANEOUS PENAL LAW] ESCAPE 2,1",,,,,
[MISCELLANEOUS PENAL LAW] MAKING TERRORISTIC THREAT,,,,,
"[GRAND LARCENY] LARCENY,GRAND BY FALSE PROMISE",,,,,
"[BURGLARY] BURGLARY,COMMERCIAL,UNKNOWN TI",-0.0070621695293013155,-0.007303667382803686,-0.009572310714109529,-0.008768091183236586,-0.008369342420193765
"PRIVACY,OFFENSES AGAINST,UNCLA",,,,,
FALSE REPORT BOMB,-0.0023751605201245978,-0.007201240556070132,-0.0050005623605171075,-0.006502758626658162,-0.005398699116124269
"[OTHER STATE LAWS (NON PENAL LA] NY STATE LAWS,UNCLASSIFIED MIS",,,,,
"[OFFENSES INVOLVING FRAUD] RECORDS,FALSIFY-TAMPER",,,,,
"[DANGEROUS DRUGS] CONTROLLED SUBSTANCE,SALE 3",,,,,
