Geoid,Spring,Summer,Autumn,Winter
36005046201,77,97,99,77
36047091000,37,62,71,51
36047089000,10,11,12,14
36081043701,1,2,1,5
36005022403,7,8,8,15
36081025400,22,21,29,17
36081008600,2,0,0,1
36061017200,30,39,41,36
36005006700,15,16,19,6
36061023600,21,19,16,14
36047006600,4,11,8,9
36061009800,15,23,25,15
36047057200,11,23,17,18
36047023100,6,5,6,4
36047028300,22,17,27,26
36061007000,7,5,3,4
36085007000,0,0,1,5
36005012901,12,18,28,25
36047044900,6,3,9,7
36081100802,1,5,10,3
36047032500,7,8,11,12
36085008100,13,5,15,8
36005043500,3,8,18,21
36081034700,0,2,8,5
36047015900,2,9,7,9
36005005100,35,49,59,45
36047031300,272,291,348,328
36005023800,131,137,170,134
36005022200,7,13,13,7
36047114400,2,7,6,5
36005005400,13,5,15,14
36061016200,26,59,56,33
36061012900,23,19,16,21
36047105804,4,1,8,5
36005043600,9,4,5,2
36005039600,10,6,4,4
36005036300,14,13,14,21
36005002000,21,22,23,19
36005045800,12,18,20,15
36047047700,5,9,7,5
36047019000,2,3,4,2
36081036600,5,4,3,2
36005008300,2,3,11,15
36085027702,8,3,6,8
36047013700,6,3,3,5
36047092400,11,18,18,14
36047096600,4,6,2,9
36061007200,21,14,22,9
36061008300,12,20,13,8
36061017000,32,41,31,27
36005005001,7,16,18,12
36005004400,13,13,17,15
36081122702,4,2,10,4
36061021303,6,8,7,7
36081124700,424,380,388,467
36061024100,18,20,21,17
36047049500,3,9,1,6
36081056800,2,2,15,1
36061016900,110,145,143,110
36005000200,3,10,10,8
36047003300,3,1,1,8
36081006501,2,11,9,6
36081018102,7,2,5,9
36047016600,0,0,2,3
36047052700,10,4,11,4
36005015100,10,10,9,12
36005039902,10,3,6,12
36081084000,2,3,5,1
36047007800,6,6,10,4
36085027900,116,122,152,192
36081006900,4,8,4,4
36005018900,13,9,10,31
36005007800,10,2,2,4
36005024502,6,7,5,6
36047033100,4,8,3,5
36005001900,11,11,18,12
36005021502,15,11,20,12
36081087100,4,5,9,12
36061018600,23,29,24,22
36061016800,16,19,18,10
36085015601,6,8,2,8
36081085700,0,4,2,4
36005022404,7,6,5,6
36005030200,42,67,50,44
36047038200,9,12,6,17
36047120000,3,4,3,5
36047053500,4,9,7,14
36047052300,8,6,12,7
36047029700,1,2,9,4
36081027100,6,2,8,3
36061013200,10,16,14,9
36005003900,25,33,31,29
36047018100,8,8,19,11
36047088600,7,8,4,2
36061022200,9,12,13,8
36061018800,17,20,24,13
36061021100,39,49,54,40
36081080900,17,8,13,16
36005037200,6,8,11,8
36085004000,9,8,15,15
36047051800,3,4,4,3
36061002601,16,24,25,21
36047036300,11,12,30,28
36081046900,3,3,3,1
36061020901,14,15,29,12
36047038300,20,24,48,20
36081004500,10,9,11,8
36005024000,4,5,7,8
36061017500,16,24,21,16
36061028700,6,11,12,3
36005039000,3,3,8,9
36061024900,5,6,4,6
36081136700,4,4,4,8
36005044400,10,8,2,3
36061016700,15,15,16,5
36061003300,7,9,11,17
36061004100,8,19,12,20
36047054500,4,9,13,8
36047034200,25,21,18,30
36005032800,8,5,13,10
36061002500,3,6,5,5
36047025100,21,17,19,28
36061005502,14,10,9,3
36047035200,7,2,4,4
36061012700,10,17,10,20
36061015200,5,10,16,12
36047054900,2,4,7,6
36061004300,34,19,22,22
36061008900,12,20,17,15
36005002500,7,11,20,17
36061007100,23,24,17,14
36085014608,1,0,3,3
36061014801,5,3,7,5
36081094202,20,22,34,21
36061023400,18,17,27,25
36047005300,15,19,12,22
36047030700,29,22,34,24
36061030300,5,13,12,11
36061016100,13,16,15,10
36061012400,11,4,8,7
36061004700,6,8,10,10
36081096400,11,14,9,15
36047090000,6,14,22,13
36061020300,2,0,3,2
36061002800,18,15,20,21
36047122000,17,14,21,23
36005017500,20,9,19,28
36047042700,5,1,2,4
36061030900,22,45,36,26
36061014601,7,6,3,6
36047032700,8,14,9,12
36005008900,1,0,4,5
36061021400,15,13,13,15
36005020601,11,7,2,11
36085016901,5,0,0,3
36061017800,3,11,7,8
36061018100,4,16,8,4
36005018500,14,14,17,15
36081017400,1,3,2,3
36005046202,11,14,23,13
36005048400,5,4,3,7
36047049100,14,16,24,18
36081047100,1,3,5,1
36047056400,1,1,1,4
36061028100,1,2,3,2
36047049700,7,4,2,8
36061024200,18,26,33,25
36081079701,3,1,3,2
36061005000,14,6,16,14
36005015300,10,9,12,7
36005038700,0,8,15,7
36061003001,25,33,32,18
36061013600,15,28,27,13
36005038900,8,3,7,13
36061019400,20,38,38,29
36061000202,20,33,33,34
36061014300,29,38,30,33
36005042100,14,10,9,6
36047080800,2,1,3,4
36047051300,13,12,9,12
36005021100,10,5,4,9
36081094203,2,3,7,6
36061013800,10,13,13,12
36061012200,8,4,10,5
36047098200,14,18,31,19
36005015900,0,5,4,3
36047110400,22,29,46,33
36047024300,5,5,17,9
36047007000,1,1,1,2
36085019800,6,3,4,3
36005023301,14,11,9,14
36005029600,6,6,5,4
36047015700,7,5,4,1
36061022600,16,14,12,16
36061000800,21,17,16,17
36061020000,10,13,9,11
36047005400,3,3,1,3
36047059402,4,5,11,12
36047090800,23,19,23,28
36081051600,1,0,2,0
36005033000,12,18,12,17
36081071303,2,3,1,3
36081013400,5,4,6,4
36061018900,30,55,55,34
36047023500,5,3,7,6
36005021302,4,4,7,6
36005006200,16,14,14,14
36081025301,9,3,13,6
36061013100,14,13,15,8
36085020803,5,7,8,6
36047021500,7,3,7,5
36081008700,16,27,26,14
36005022401,1,3,2,1
36047110600,13,17,26,13
36047113000,1,0,5,0
36081081800,0,1,0,3
36005004300,16,13,23,25
36047002901,9,12,17,11
36061022500,11,17,8,20
36047044500,5,1,10,4
36005014300,10,5,11,8
36081012500,8,12,13,14
36061014500,7,4,15,5
36047118800,0,4,4,0
36005033600,11,15,30,12
36047032800,9,5,10,10
36061008100,26,26,36,30
36005007900,15,12,16,12
36081138501,3,2,3,2
36081007900,6,7,9,10
36047109800,1,2,9,5
36061027300,12,16,29,15
36081025800,6,3,2,4
36005002701,11,8,4,12
36005006900,13,20,19,23
36085006700,6,3,5,6
36081018300,17,10,13,4
36047121400,12,22,18,17
34017007600,4,1,4,1
36005034800,14,19,19,16
36085027705,2,4,3,2
36081103201,19,11,8,13
36047036600,4,5,2,5
36047049800,2,1,2,4
36047043100,6,6,22,11
36061021800,8,12,8,10
36047029600,4,4,5,1
36047111800,7,15,24,20
36047050803,16,8,11,16
36061006600,9,18,27,13
36047101400,2,6,8,6
36047118400,2,5,2,5
36061013400,15,12,26,20
36047053100,2,0,0,0
36081025900,1,2,1,4
36005019300,15,15,18,25
36061024500,30,49,43,37
36085006400,4,12,5,7
36005022500,15,13,15,19
36061014402,10,17,8,13
36005029302,9,3,8,10
36061007400,12,18,25,14
36081099704,6,5,4,3
36081059100,7,3,3,5
36005021002,8,4,5,8
36061020600,5,14,12,11
36061008700,10,17,14,14
36081012301,10,4,7,8
36085007700,5,3,5,7
36061006400,6,14,7,7
36005016100,14,13,5,12
36005017702,12,4,8,9
36047026700,9,6,6,8
36047025700,15,12,17,14
36005022901,9,4,4,8
36005014400,6,18,17,16
36061001501,11,7,8,16
36085002900,7,9,11,14
36081092900,17,8,8,8
36047082000,4,5,11,10
36061016002,1,4,1,2
36005022702,1,2,1,2
36005014500,16,31,23,24
36061004000,12,13,25,15
36081092500,5,7,10,4
36047082200,12,18,24,24
36047120800,18,23,20,15
36005040701,5,5,6,6
36005038000,13,9,6,4
36005041900,12,9,9,12
36047040900,6,10,4,4
36047049300,23,13,31,23
36047048100,3,1,7,2
36061012000,7,8,4,5
36081097202,8,2,4,4
36005017701,11,11,13,9
36061017300,15,21,16,9
36081113300,7,0,7,2
36047023400,6,3,1,10
36061000600,23,25,33,27
36047038100,9,10,20,9
36081069000,4,5,3,5
36047057800,1,2,3,2
36061015100,23,31,20,15
36047039400,4,2,1,3
36081043200,2,0,0,0
36005005200,6,6,4,9
36061019200,5,19,8,5
36047040500,4,2,4,3
36061009200,9,7,11,9
36047009400,6,4,4,3
