MonthYear,CensusTract_2010,TotalReports,CensusTract_2010_ID,CensusTract_2010_NAME,CountyName_2010,GEOID_SCT,CensusBlockID_list,Zipcode_list,Ticket_list,Classification_list,Month,Year
February-2020,146.07,2,14607,Census Tract 146.07,Westchester County,36119014607,"[2012, 2025]","[10567, 10567]","['WL20002004', 'WL20002015']","['M', 'P']",2,2020
February-2020,146.06,1,14606,Census Tract 146.06,Westchester County,36119014606,[2016],[10567],['WL20001788'],['M'],2,2020
February-2020,145.0,1,14500,Census Tract 145,Westchester County,36119014500,[2002],[10566],['WL20001870'],['M'],2,2020
February-2020,139.0,3,13900,Census Tract 139,Westchester County,36119013900,"[4024, 3005, 2000]","[10520, 10520, 10520]","['WL20001928', 'WL20001626', 'WL20001640']","['M', 'M', 'P']",2,2020
February-2020,136.0,2,13600,Census Tract 136,Westchester County,36119013600,"[3012, 3012]","[10562, 10562]","['WL20001974', 'WL20001652']","['P', 'M']",2,2020
February-2020,131.02,1,13102,Census Tract 131.02,Westchester County,36119013102,[3019],[10514],['WL20001650'],['M'],2,2020
February-2020,130.0,2,13000,Census Tract 130,Westchester County,36119013000,"[3000, 2001]","[10549, 10549]","['WL20001660', 'WL20001665']","['P', 'P']",2,2020
February-2020,129.0,1,12900,Census Tract 129,Westchester County,36119012900,[1010],[10549],['WL20001949'],['M'],2,2020
February-2020,127.0,1,12700,Census Tract 127,Westchester County,36119012700,[4024],[10506],['WL20001996'],['P'],2,2020
February-2020,122.0,2,12200,Census Tract 122,Westchester County,36119012200,"[5039, 4006]","[10570, 10570]","['WL20001784', 'WL20001503']","['M', 'P']",2,2020
February-2020,121.02,1,12102,Census Tract 121.02,Westchester County,36119012102,[3027],[10594],['WL20001754'],['M'],2,2020
February-2020,119.02,1,11902,Census Tract 119.02,Westchester County,36119011902,[3004],[10595],['WL20001933'],['P'],2,2020
February-2020,118.0,1,11800,Census Tract 118,Westchester County,36119011800,[3037],[10570],['WL20001654'],['P'],2,2020
February-2020,116.0,2,11600,Census Tract 116,Westchester County,36119011600,"[3000, 3000]","[10591, 10591]","['WL20001740', 'WL20001666']","['M', 'M']",2,2020
February-2020,115.0,2,11500,Census Tract 115,Westchester County,36119011500,"[1026, 1022]","[10591, 10591]","['WL20002017', 'WL20001843']","['P', 'M']",2,2020
February-2020,114.0,2,11400,Census Tract 114,Westchester County,36119011400,"[4018, 1047]","[10591, 10533]","['WL20002007', 'WL20001773']","['M', 'P']",2,2020
February-2020,112.0,3,11200,Census Tract 112,Westchester County,36119011200,"[2040, 2040, 4040]","[10523, 10523, 10523]","['WL20002021', 'WL20002022', 'WL20001676']","['M', 'P', 'M']",2,2020
February-2020,111.01,1,11101,Census Tract 111.01,Westchester County,36119011101,[1007],[10591],['WL20002052'],['M'],2,2020
February-2020,110.0,1,11000,Census Tract 110,Westchester County,36119011000,[2015],[10523],['WL20001728'],['M'],2,2020
February-2020,109.03,2,10903,Census Tract 109.03,Westchester County,36119010903,"[4005, 2021]","[10607, 10607]","['WL20001894', 'WL20001672']","['P', 'P']",2,2020
February-2020,109.02,2,10902,Census Tract 109.02,Westchester County,36119010902,"[4025, 4025]","[10607, 10603]","['WL20001668', 'WL20001648']","['P', 'P']",2,2020
February-2020,109.01,1,10901,Census Tract 109.01,Westchester County,36119010901,[1037],[10603],['WL20001839'],['M'],2,2020
February-2020,108.03,1,10803,Census Tract 108.03,Westchester County,36119010803,[2010],[10530],['WL20001774'],['M'],2,2020
February-2020,108.01,2,10801,Census Tract 108.01,Westchester County,36119010801,"[2021, 2022]","[10583, 10530]","['WL20002009', 'WL20001910']","['P', 'M']",2,2020
February-2020,106.0,1,10600,Census Tract 106,Westchester County,36119010600,[3008],[10502],['WL20001613'],['M'],2,2020
February-2020,99.0,1,9900,Census Tract 99,Westchester County,36119009900,[3003],[10583],['WL20001500'],['M'],2,2020
February-2020,98.0,1,9800,Census Tract 98,Westchester County,36119009800,[2023],[10583],['WL20001945'],['P'],2,2020
February-2020,97.02,2,9702,Census Tract 97.02,Westchester County,36119009702,"[3020, 2024]","[10605, 10605]","['WL20001935', 'WL20001962']","['P', 'P']",2,2020
February-2020,97.01,1,9701,Census Tract 97.01,Westchester County,36119009701,[3016],[10605],['WL20001679'],['M'],2,2020
February-2020,94.0,2,9400,Census Tract 94,Westchester County,36119009400,"[3017, 2007]","[10605, 10601]","['WL20002057', 'WL20001889']","['P', 'M']",2,2020
February-2020,92.0,1,9200,Census Tract 92,Westchester County,36119009200,[5014],[10606],['WL20001902'],['M'],2,2020
February-2020,89.02,1,8902,Census Tract 89.02,Westchester County,36119008902,[3002],[10604],['WL20001625'],['P'],2,2020
February-2020,83.02,2,8302,Census Tract 83.02,Westchester County,36119008302,"[2011, 4030]","[10573, 10573]","['WL20001966', 'WL20001814']","['P', 'M']",2,2020
February-2020,83.01,1,8301,Census Tract 83.01,Westchester County,36119008301,[1004],[10573],['WL20002019'],['M'],2,2020
February-2020,82.0,1,8200,Census Tract 82,Westchester County,36119008200,[3003],[10573],['WL20001970'],['P'],2,2020
February-2020,79.0,1,7900,Census Tract 79,Westchester County,36119007900,[2000],[10573],['WL20001867'],['M'],2,2020
February-2020,78.0,3,7800,Census Tract 78,Westchester County,36119007800,"[3001, 3002, 3006]","[10573, 10573, 10573]","['WL20002035', 'WL20001818', 'WL20001608']","['M', 'M', 'M']",2,2020
February-2020,76.0,1,7600,Census Tract 76,Westchester County,36119007600,[2020],[10580],['WL20001905'],['P'],2,2020
February-2020,75.0,5,7500,Census Tract 75,Westchester County,36119007500,"[2002, 3019, 2004, 2014, 2017]","[10580, 10580, 10580, 10580, 10580]","['WL20002041', 'WL20001908', 'WL20001673', 'WL20001685', 'WL20001697']","['M', 'M', 'M', 'M', 'M']",2,2020
February-2020,72.0,1,7200,Census Tract 72,Westchester County,36119007200,[2023],[10543],['WL20001611'],['M'],2,2020
February-2020,69.0,5,6900,Census Tract 69,Westchester County,36119006900,"[3026, 2002, 3036, 4003, 4003]","[10538, 10538, 10538, 10538, 10538]","['WL20001952', 'WL20001881', 'WL20001734', 'WL20001630', 'WL20001634']","['M', 'M', 'M', 'M', 'M']",2,2020
