Crimes,Spring,Summer,Autumn,Winter,ALL_SEASONS
Geoid,-0.07430927254336206,-0.07723674909040008,-0.08633571322893069,-0.0700411743318525,-0.078292392920449
"[FORGERY] FORGERY,ETC.,UNCLASSIFIED-FELO",-0.010948486031390682,-0.009382108208431501,-0.008468209739766929,-0.013419728354751716,-0.01075523201237215
"[GAMBLING] GAMBLING, DEVICE, POSSESSION",,,,,
"[ADMINISTRATIVE CODE] CIGARETTE,NO TAX STAMP,POSSESS",0.0206653945579913,0.01856881291353517,0.01680866662202341,0.008193574219121398,0.016093424785959452
"[CRIMINAL MISCHIEF & RELATED OF] CRIMINAL MISCHIEF,UNCLASSIFIED 4",-0.009778443863242394,-0.0034862159627282513,-0.0065757416527965845,-0.010120328635373353,-0.007655042143234434
"[ROBBERY] ROBBERY,LICENSED MEDALLION CAB",,,,,
"[OFFENSES INVOLVING FRAUD] RECORDS,FALSIFY-TAMPER",,,,,
"[DANGEROUS DRUGS] MARIJUANA, SALE 4 & 5",-0.009059339682441651,-0.008262397441609311,-0.012738473698944522,-0.004312296281904846,-0.008713961707146016
[OFF. AGNST PUB ORD SENSBLTY &] RIOT 2/INCITING,,,,,
"[BURGLAR'S TOOLS] BURGLARS TOOLS,UNCLASSIFIED",0.012342468970670154,0.006903069280863743,0.004145606484465699,-0.005354452156990308,0.004253535777886437
"[PETIT LARCENY] LARCENY,PETIT BY CREDIT CARD U",-0.0019254034647376546,-0.011762120531410862,-0.012738473698944519,-0.004312296281904827,-0.007868255349426501
"[nan] NUISANCE,CRIMINAL,UNCLASSIFIED",,,,,
[OFF. AGNST PUB ORD SENSBLTY &] AGGRAVATED HARASSMENT 2,-0.022624250698103785,-0.02498433576101938,-0.024382463773207286,-0.027332316131027955,-0.025308449511461953
"[BURGLARY] BURGLARY,RESIDENCE,NIGHT",-0.023046797973234157,-0.020728250660279224,-0.01959357988056856,-0.015794732493606203,-0.019979938898468108
"[MISCELLANEOUS PENAL LAW] TRESPASS 1,CRIMINAL",,,,,
"[FRAUDS] FRAUD,UNCLASSIFIED-MISDEMEANOR",-0.016183023477944716,-0.015817284776527402,-0.015037841856862369,-0.012737211213046657,-0.015121765506139605
[JOSTLING] JOSTLING,,,,,
"[GRAND LARCENY] LARCENY,GRAND FROM PERSON,PICK",,,,,
"[GRAND LARCENY OF MOTOR VEHICLE] LARCENY,GRAND OF AUTO",-0.030573188962223094,-0.039521202494503346,-0.039964858225514634,-0.03530477188843973,-0.03702516218045298
"[CRIMINAL MISCHIEF & RELATED OF] MISCHIEF, CRIMINAL 3&2, BY FIR",0.0011604671435656952,-0.0041915488034807566,-0.005275233219367365,-0.008942309651458712,-0.004565864099029492
"[ARSON] ARSON, MOTOR VEHICLE 1 2 3 & 4",-0.005072612011818585,0.004650107959791699,-0.000400513875274628,-0.002303781743618673,-0.000809153459312888
"[FRAUDS] CHECK,BAD",,,,,
[nan] FALSE REPORT UNCLASSIFIED,,,,,
[MISCELLANEOUS PENAL LAW] MAKING TERRORISTIC THREAT,,,,,
"[DANGEROUS DRUGS] MARIJUANA, POSSESSION 4 & 5",-0.012740338221618007,-0.011892294931493698,-0.011064914298814793,-0.00961361845519872,-0.01145079254040817
[KIDNAPPING & RELATED OFFENSES] CUSTODIAL INTERFERENCE 1,,,,,
"[OTHER STATE LAWS] NY STATE LAWS,UNCLASSIFIED VIO",,,,,
"[ROBBERY] ROBBERY,COMMERCIAL UNCLASSIFIED",-0.005563766848373167,-0.005840915733929009,-0.0037832557047727693,0.004318805471386842,-0.002573020574698614
"[GRAND LARCENY OF MOTOR VEHICLE] LARCENY, GRAND OF MOPED",,,,,
[ADMINISTRATIVE CODE] POSSES OR CARRY A KNIFE,0.01828741581875679,0.020901961640069504,0.0168086666220234,0.010277885969292428,0.016657229024439127
[RAPE] RAPE 1,,,,,
[nan] TAX LAW,,,,,
"[PETIT LARCENY] LARCENY,PETIT FROM BUILDING,UN",-0.016394343953931374,-0.019719087726054307,-0.01720713871886461,-0.02072731667446581,-0.01885556120049809
"[INTOXICATED & IMPAIRED DRIVING] INTOXICATED DRIVING,ALCOHOL",-0.02234018970982312,-0.01976202909785688,-0.024329639241161508,-0.022944297112086603,-0.022778066202385497
"[BURGLARY] BURGLARY,COMMERCIAL,UNKNOWN TI",0.0033500750004775218,-0.004213528373303971,-0.0037928371746692056,0.0024111380392245014,-0.0005849274832549238
[SEX CRIMES] SODOMY 1,,,,,
"[MISCELLANEOUS PENAL LAW] BRIBERY, POLICE OFFICER",,,,,
"[BURGLARY] BURGLARY,TRUCK NIGHT",-0.011437318421676392,-0.004762674351807926,-0.008517453653092012,-0.008480919782246904,-0.008432059587906224
[DANGEROUS DRUGS] POSSESSION HYPODERMIC INSTRUME,,,,,
"[GRAND LARCENY] LARCENY,GRAND FROM PIER, UNATTENDED",-0.005563766848372964,-0.0058409157339288885,-0.009751165763150951,-0.008942309651458468,-0.007754413737958684
"[THEFT-FRAUD] THEFT,RELATED OFFENSES,UNCLASS",,,,,
"[GRAND LARCENY] LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",-0.006088991551504463,-0.01086541591702053,-0.003839489238628689,-0.0061016043622305555,-0.006745448841265931
[PETIT LARCENY] PETIT LARCENY-CHECK FROM MAILB,,,,,
"[ROBBERY] ROBBERY,BANK",,,,,
[DISORDERLY CONDUCT] DISORDERLY CONDUCT,,,,,
"[GRAND LARCENY] LARCENY,GRAND PERSON,NECK CHAI",-0.007244825346357655,-0.007490282664377159,-0.00975116576315096,-0.00894230965145848,-0.008551551147691022
"[GRAND LARCENY] LARCENY,GRAND BY ACQUIRING LOS",,,,,
"[LOITERING/GAMBLING (CARDS, DIC] LOITERING,GAMBLING,OTHER",,,,,
[nan] VIOLATION OF ORDER OF PROTECTI,,,,,
"[GRAND LARCENY] LARCENY,GRAND BY FALSE PROMISE",-0.0038827083503883406,-0.007490282664377192,-0.00229127819017815,-0.007468852415586834,-0.005363001508761716
"[PETIT LARCENY] LARCENY,PETIT OF BICYCLE",-0.00892588384434253,-0.007490282664377288,-0.009751165763151113,-0.00452193794384341,-0.007754413737958879
[FELONY ASSAULT] STRANGULATION 1ST,0.00045257527449694713,-0.0024295256252735388,-0.0011306685728499969,-0.0022279845317336854,-0.0013845066069103071
"[DANGEROUS DRUGS] MARIJUANA, POSSESSION 1, 2 & 3",,,,,
"[ROBBERY] ROBBERY,BICYCLE",0.014608935127442785,0.01725022129234616,0.03202420464549597,0.014633006122488726,0.020145395602672717
"[ROBBERY] ROBBERY, PAYROLL",,,,,
"[GRAND LARCENY] LARCENY,GRAND FROM PERSON,PURS",-0.008925883844342595,-0.009139649594825584,-0.0067672107339619755,-0.0074688524155869795,-0.008152982442825087
"[BURGLARY] BURGLARY,UNKNOWN TIME",,,,,
"[PETIT LARCENY] LARCENY,PETIT BY DISHONEST EMP",,,,,
"[GRAND LARCENY OF MOTOR VEHICLE] LARCENY,GRAND OF TRUCK",,,,,
"[ANTICIPATORY OFFENSES] FACILITATION 4, CRIMINAL",,,,,
[MISCELLANEOUS PENAL LAW] HEALTHCARE/RENT.REG.,,,,,
"[BURGLARY] BURGLARY,TRUCK DAY",0.00048123449084740513,-0.0012614838198420051,0.006451417571488952,0.011353459233870053,0.004603799765369798
[MISCELLANEOUS PENAL LAW] EAVESDROPPING,,,,,
"[DANGEROUS DRUGS] DRUG PARAPHERNALIA,   POSSESSE",,,,,
"[CRIMINAL MISCHIEF & RELATED OF] TAMPERING 3,2, CRIMINAL",-0.0043033822039723335,-0.005929248715075086,-0.005351688618702601,-0.011607387407503583,-0.007022548991707051
"[GRAND LARCENY] LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",0.009964490231435502,0.01273594109719949,0.006256116507391941,-0.0011858286566482866,0.006790654851044865
"[CRIMINAL MISCHIEF & RELATED OF] MISCHIEF, CRIMINAL 4, OF MOTOR",-0.03902429740077511,-0.04429540906877043,-0.04641379701121095,-0.037709671013618155,-0.04255585327546651
[OFFENSES INVOLVING FRAUD] POSSESSION ANTI-SECURITY ITEM,,,,,
"[CRIMINAL MISCHIEF & RELATED OF] CRIMINAL MISCHIEF 4TH, GRAFFIT",-0.02393545366285231,-0.01831402758675552,-0.018703783093786164,-0.021272121522217434,-0.02085116475575706
[RAPE] RAPE 3,,,,,
"[DANGEROUS DRUGS] CONTROLLED SUBSTANCE,SALE 2",,,,,
"[PETIT LARCENY] LARCENY,PETIT OF LICENSE PLATE",,,,,
"[ROBBERY] ROBBERY,POCKETBOOK/CARRIED BAG",,,,,
[ESCAPE 3] ESCAPE 3,,,,,
"[GRAND LARCENY] LARCENY,GRAND FROM TRUCK, UNATTENDED",,,,,
"[BURGLARY] BURGLARY,UNCLASSIFIED,DAY",0.007884701135504275,-0.0008928149425842565,-0.0037832557047727654,-0.005995395179715159,-0.000978745755233949
[OFFENSES AGAINST PUBLIC ADMINI] RESISTING ARREST,,,,,
