Geoid,County,Population,Povertyrate,Unemploymentrate
36001013100,"Albany County, Census Tract 131","2,620",6.80%,7.90%
36001014700,"Albany County, Census Tract 147","2,692",2.60%,5.00%
36001014802,"Albany County, Census Tract 148.02","1,843",10.70%,1.70%
36001013901,"Albany County, Census Tract 139.01","2,460",3.30%,3.00%
36001013902,"Albany County, Census Tract 139.02","5,333",4.00%,3.80%
36001013503,"Albany County, Census Tract 135.03","4,277",6.00%,2.70%
36001013801,"Albany County, Census Tract 138.01","7,278",5.10%,6.00%
36001013802,"Albany County, Census Tract 138.02","4,390",3.60%,3.90%
36001014612,"Albany County, Census Tract 146.12","1,720",10.30%,3.90%
36001013000,"Albany County, Census Tract 130","6,545",5.40%,4.60%
36001002600,"Albany County, Census Tract 26","5,165",24.30%,11.10%
36001001100,"Albany County, Census Tract 11","1,169",36.80%,3.60%
36001001801,"Albany County, Census Tract 18.01","6,579",5.00%,3.90%
36001013400,"Albany County, Census Tract 134","2,430",6.90%,3.70%
36001014100,"Albany County, Census Tract 141","5,304",2.80%,3.50%
36001014801,"Albany County, Census Tract 148.01","2,794",7.60%,5.00%
36001014609,"Albany County, Census Tract 146.09","4,645",5.20%,3.70%
36001013506,"Albany County, Census Tract 135.06","6,361",4.80%,2.30%
36001013300,"Albany County, Census Tract 133","4,427",16.50%,5.80%
36001013200,"Albany County, Census Tract 132","3,397",27.40%,4.30%
36001013601,"Albany County, Census Tract 136.01","9,372",5.80%,6.00%
36001014502,"Albany County, Census Tract 145.02","3,479",2.90%,1.00%
36001014803,"Albany County, Census Tract 148.03","3,361",6.00%,1.30%
36001000404,"Albany County, Census Tract 4.04","5,203",0%,17.50%
36001013602,"Albany County, Census Tract 136.02","4,409",14.30%,6.30%
36001014501,"Albany County, Census Tract 145.01","2,380",3.80%,2.30%
36001014302,"Albany County, Census Tract 143.02","7,792",5.10%,1.50%
36001014203,"Albany County, Census Tract 142.03","6,002",2.80%,2.50%
36001014202,"Albany County, Census Tract 142.02","5,938",3.80%,4.90%
36001001802,"Albany County, Census Tract 18.02","3,816",11.30%,3.70%
36001014201,"Albany County, Census Tract 142.01","5,768",8.30%,1.00%
36001014611,"Albany County, Census Tract 146.11","1,818",1.90%,2.90%
36001013705,"Albany County, Census Tract 137.05","6,628",3.70%,1.70%
36001013707,"Albany County, Census Tract 137.07","6,061",2.70%,3.80%
36001014401,"Albany County, Census Tract 144.01","4,151",5.00%,1.30%
36001014402,"Albany County, Census Tract 144.02","3,267",12.50%,2.80%
36001014607,"Albany County, Census Tract 146.07","8,262",2.80%,2.60%
36001014613,"Albany County, Census Tract 146.13","2,863",4.30%,6.70%
36001000700,"Albany County, Census Tract 7","3,821",34.10%,12.90%
36001000100,"Albany County, Census Tract 1","2,139",32.50%,12.20%
36001014606,"Albany County, Census Tract 146.06","3,675",2.20%,4.20%
36001014301,"Albany County, Census Tract 143.01","2,852",11.00%,6.50%
36001014503,"Albany County, Census Tract 145.03","2,789",4.80%,4.40%
36001000401,"Albany County, Census Tract 4.01","2,227",7.70%,5.00%
36001014608,"Albany County, Census Tract 146.08","4,358",8.80%,7.20%
36001000403,"Albany County, Census Tract 4.03","4,415",12.30%,2.80%
36001000300,"Albany County, Census Tract 3","5,888",27.00%,10.20%
36001013703,"Albany County, Census Tract 137.03","2,500",2.20%,5.10%
36001014001,"Albany County, Census Tract 140.01","4,003",10.60%,3.00%
36001001400,"Albany County, Census Tract 14","3,560",19.50%,0.90%
36001014002,"Albany County, Census Tract 140.02","4,542",12.40%,2.10%
36001013706,"Albany County, Census Tract 137.06","2,124",2.80%,2.70%
36001013505,"Albany County, Census Tract 135.05","2,712",7.50%,3.40%
36001001902,"Albany County, Census Tract 19.02","2,581",7.30%,2.80%
36001001700,"Albany County, Census Tract 17","4,021",13.70%,5.00%
36001000501,"Albany County, Census Tract 5.01","3,412",27.30%,12.30%
36001000502,"Albany County, Census Tract 5.02","3,448",21.80%,10.60%
36001001600,"Albany County, Census Tract 16","4,273",26.40%,5.80%
36001001901,"Albany County, Census Tract 19.01","2,607",8.00%,4.70%
36001000600,"Albany County, Census Tract 6","3,676",46.30%,12.00%
36001001500,"Albany County, Census Tract 15","4,606",26.30%,3.50%
36001002100,"Albany County, Census Tract 21","3,773",26.00%,3.70%
36001002000,"Albany County, Census Tract 20","5,771",22.60%,1.00%
36001002300,"Albany County, Census Tract 23","2,051",34.70%,7.30%
36001000800,"Albany County, Census Tract 8","2,393",44.90%,27.00%
36001002200,"Albany County, Census Tract 22","2,344",19.40%,5.60%
36001000200,"Albany County, Census Tract 2","6,046",34.40%,9.60%
36001002500,"Albany County, Census Tract 25","2,872",52.20%,7.00%
36001012900,"Albany County, Census Tract 129","3,445",21.90%,12.40%
36001012700,"Albany County, Census Tract 127","2,342",12.40%,6.10%
36001012800,"Albany County, Census Tract 128","3,836",20.40%,10.20%
36001014615,"Albany County, Census Tract 146.15","2,374",7.10%,2.10%
36001013508,"Albany County, Census Tract 135.08","6,547",5.70%,4.40%
36001014614,"Albany County, Census Tract 146.14","5,588",3.30%,0.40%
36001013507,"Albany County, Census Tract 135.07","2,594",10.10%,5.90%
36003950800,"Allegany County, Census Tract 9508","6,384",20.50%,5.60%
36003950900,"Allegany County, Census Tract 9509","3,938",14.30%,3.90%
36003951000,"Allegany County, Census Tract 9510","3,249",22.70%,2.40%
36003951100,"Allegany County, Census Tract 9511","3,938",14.50%,8.60%
36003950100,"Allegany County, Census Tract 9501","2,555",14.60%,6.10%
36003950400,"Allegany County, Census Tract 9504","3,649",15.60%,4.80%
36003950600,"Allegany County, Census Tract 9506","3,960",24.20%,11.40%
36003950700,"Allegany County, Census Tract 9507","3,821",15.50%,7.00%
36003951200,"Allegany County, Census Tract 9512","5,086",15.00%,7.80%
36003950300,"Allegany County, Census Tract 9503","4,927",16.50%,4.20%
36003950500,"Allegany County, Census Tract 9505","3,799",16.90%,7.80%
36003940200,"Allegany County, Census Tract 9402",1,0%,0%
36003951300,"Allegany County, Census Tract 9513","3,639",15.40%,3.90%
36005015100,"Bronx County, Census Tract 151","5,409",25.40%,11.00%
36005037600,"Bronx County, Census Tract 376","2,148",17.40%,15.40%
36005024800,"Bronx County, Census Tract 248","3,363",12.50%,9.70%
36005023301,"Bronx County, Census Tract 233.01","4,377",31.80%,11.70%
36005019400,"Bronx County, Census Tract 194","1,903",21.60%,12.50%
36005045600,"Bronx County, Census Tract 456","2,896",2.80%,6.00%
36005005001,"Bronx County, Census Tract 50.01","4,767",47.40%,15.20%
36005005002,"Bronx County, Census Tract 50.02","5,823",44.20%,12.30%
36005005300,"Bronx County, Census Tract 53","4,669",57.20%,29.40%
36005023000,"Bronx County, Census Tract 230","2,950",27.60%,8.00%
36005013200,"Bronx County, Census Tract 132","5,890",4.20%,3.50%
36005007900,"Bronx County, Census Tract 79","6,733",47.80%,12.80%
36005008900,"Bronx County, Census Tract 89","3,177",25.90%,8.90%
36005021601,"Bronx County, Census Tract 216.01","4,206",32.10%,14.50%
36005003800,"Bronx County, Census Tract 38","1,264",21.90%,14.80%
36005025000,"Bronx County, Census Tract 250","2,383",13.40%,6.00%
36005028900,"Bronx County, Census Tract 289","4,502",17.10%,6.00%
36005025300,"Bronx County, Census Tract 253","6,332",29.20%,9.40%
36005017300,"Bronx County, Census Tract 173","5,987",38.60%,7.00%
36005006500,"Bronx County, Census Tract 65","5,337",42.00%,11.40%
36005018900,"Bronx County, Census Tract 189","7,752",40.90%,5.30%
36005004300,"Bronx County, Census Tract 43","5,056",41.40%,17.10%
36005011800,"Bronx County, Census Tract 118","5,089",9.90%,5.50%
36005006800,"Bronx County, Census Tract 68","2,897",25.00%,8.10%
36005011900,"Bronx County, Census Tract 119","5,698",34.80%,13.80%
36005008400,"Bronx County, Census Tract 84","2,374",7.00%,5.90%
36005008700,"Bronx County, Census Tract 87","5,466",42.60%,12.60%
36005013500,"Bronx County, Census Tract 135","3,583",33.00%,8.80%
36005020601,"Bronx County, Census Tract 206.01","3,050",24.90%,11.40%
36005022401,"Bronx County, Census Tract 224.01","2,708",22.20%,16.00%
36005023100,"Bronx County, Census Tract 231","1,537",38.30%,17.40%
36005024700,"Bronx County, Census Tract 247","1,764",26.90%,6.40%
36005003900,"Bronx County, Census Tract 39","6,475",31.60%,9.60%
36005020200,"Bronx County, Census Tract 202","2,155",26.10%,5.50%
36005023302,"Bronx County, Census Tract 233.02","3,415",36.90%,10.80%
36005007100,"Bronx County, Census Tract 71","1,907",22.50%,10.30%
36005039100,"Bronx County, Census Tract 391","6,992",31.90%,8.30%
36005007500,"Bronx County, Census Tract 75","4,869",28.60%,9.80%
36005021302,"Bronx County, Census Tract 213.02","5,415",33.70%,13.10%
36005006900,"Bronx County, Census Tract 69","7,564",35.60%,6.20%
36005012101,"Bronx County, Census Tract 121.01","3,090",29.70%,6.70%
36005021900,"Bronx County, Census Tract 219","1,367",42.00%,11.00%
36005007300,"Bronx County, Census Tract 73","3,893",54.00%,13.60%
36005041900,"Bronx County, Census Tract 419","6,734",26.40%,13.40%
36005035800,"Bronx County, Census Tract 358","7,166",8.80%,11.10%
36005012701,"Bronx County, Census Tract 127.01","2,253",46.70%,1.90%
36005000100,"Bronx County, Census Tract 1","11,091",n/a,n/a
36005034200,"Bronx County, Census Tract 342","1,675",16.70%,7.50%
36005011000,"Bronx County, Census Tract 110",151,n/a,n/a
36005033400,"Bronx County, Census Tract 334","1,351",5.60%,18.20%
36005024100,"Bronx County, Census Tract 241","6,182",27.90%,8.90%
36005038200,"Bronx County, Census Tract 382","2,596",24.00%,14.00%
36005009800,"Bronx County, Census Tract 98","5,038",9.20%,7.20%
36005004100,"Bronx County, Census Tract 41","6,127",57.80%,13.80%
36005039400,"Bronx County, Census Tract 394","4,573",27.80%,13.00%
36005021800,"Bronx County, Census Tract 218","6,499",26.60%,7.20%
36005036800,"Bronx County, Census Tract 368","2,011",17.50%,10.80%
36005022500,"Bronx County, Census Tract 225","7,698",27.20%,12.60%
36005041500,"Bronx County, Census Tract 415","5,461",22.00%,11.00%
36005003100,"Bronx County, Census Tract 31","1,597",20.30%,4.80%
36005003500,"Bronx County, Census Tract 35","3,761",35.30%,12.30%
36005008500,"Bronx County, Census Tract 85","5,457",37.90%,14.10%
36005012102,"Bronx County, Census Tract 121.02","1,631",46.90%,18.30%
36005021100,"Bronx County, Census Tract 211","5,565",36.60%,14.50%
36005023200,"Bronx County, Census Tract 232","2,661",26.50%,12.30%
36005022404,"Bronx County, Census Tract 224.04","4,509",11.00%,7.30%
36005000400,"Bronx County, Census Tract 4","5,503",9.80%,8.00%
36005026602,"Bronx County, Census Tract 266.02","5,301",18.50%,9.50%
36005002000,"Bronx County, Census Tract 20","8,731",44.80%,18.10%
36005003300,"Bronx County, Census Tract 33","3,413",51.10%,23.50%
36005014300,"Bronx County, Census Tract 143","1,003",43.90%,9.30%
36005022701,"Bronx County, Census Tract 227.01","5,196",34.30%,11.40%
36005038900,"Bronx County, Census Tract 389","5,325",43.30%,13.70%
36005013800,"Bronx County, Census Tract 138","3,042",10.10%,5.50%
36005002400,"Bronx County, Census Tract 24",4,0%,0%
36005007400,"Bronx County, Census Tract 74","3,710",29.20%,6.20%
36005040100,"Bronx County, Census Tract 401","4,593",36.30%,19.20%
36005001600,"Bronx County, Census Tract 16","5,643",22.30%,6.60%
36005016300,"Bronx County, Census Tract 163",0,n/a,n/a
36005008300,"Bronx County, Census Tract 83","6,155",36.00%,15.10%
36005023900,"Bronx County, Census Tract 239","8,348",46.00%,12.40%
36005039902,"Bronx County, Census Tract 399.02","5,279",39.00%,17.40%
