Geoid,Spring,Summer,Autumn,Winter
36005046201,42,51,58,35
36047091000,18,37,41,35
36047089000,4,5,5,8
36081043701,0,1,1,3
36085012200,0,0,2,2
36005009000,17,14,18,17
36005014300,7,3,7,5
36047038900,3,5,8,1
36061016200,7,25,26,15
36081006202,6,3,3,2
36061009300,8,9,3,10
36081059300,1,1,1,4
36005039400,7,2,7,4
36047024300,2,2,5,8
36081058300,1,4,2,9
36061002800,8,6,11,6
36081004500,3,2,8,5
36081094202,11,14,21,12
36061008900,6,11,7,8
36081040900,0,0,0,1
36047008500,3,2,2,5
36005026900,5,5,3,6
36047059600,2,3,0,3
36081109300,3,2,1,2
36005035600,1,1,3,2
36081010000,2,3,5,2
36061001002,4,4,5,1
36047081800,0,2,2,3
36081081800,0,1,0,2
36061012700,7,10,5,6
36085000600,3,2,3,5
36081034700,0,1,6,4
36005008600,0,2,3,2
36005033500,7,1,6,1
36047006900,6,7,4,6
36005005600,4,5,8,9
36047034500,12,4,9,9
36047039100,1,1,2,6
36061003200,16,12,19,15
36047080800,2,1,2,3
36081005200,1,0,1,1
36047023000,0,3,0,2
36085018100,4,2,2,7
36081006100,2,0,2,2
36005003900,14,19,19,16
36005017500,7,3,16,18
36005034800,5,8,11,6
36085017300,6,2,6,1
36047054500,2,5,4,6
36061003400,13,14,19,14
36005012901,7,13,20,15
36047089200,4,8,12,6
36047001500,4,9,5,7
36047090800,9,7,8,16
36085011401,0,0,4,4
36005003700,2,2,3,2
36047115600,5,3,13,8
36005036400,3,0,2,3
36081088901,5,10,7,6
36081007300,1,2,3,2
36047089600,4,4,4,3
36061022600,9,7,9,8
36005022500,10,6,9,10
36047102800,5,3,7,4
36005005100,18,32,28,18
36047058600,0,1,0,1
36061028500,12,12,8,12
36061003001,12,16,13,9
36047073400,0,1,4,1
36061022500,5,9,3,6
36081016300,7,7,8,6
36061010200,0,0,2,3
36047092800,2,2,2,2
36005004001,1,0,0,1
36081005800,0,1,0,3
36005005400,5,3,2,7
36061021400,6,2,5,3
36047011000,2,0,0,2
36047037900,10,11,20,9
36047114202,1,2,2,3
36047032500,5,2,6,4
