DemographicVariable,Spring,Summer,Autumn,Winter,ALL_SEASONS
Total; Estimate; Total population,0.21693277168356098,0.24709928934611333,0.244592873488856,0.19639772131804012,0.2296088594428573
Male; Estimate; Total population,0.19814197037530026,0.22453196935679404,0.21995386206549297,0.17887891541327886,0.20837961131314237
Female; Estimate; Total population,0.227015059253879,0.2595863446816008,0.25893600854042126,0.2059623535283145,0.24143552697929518
Total; Estimate; AGE - Under 5 years,-0.013306923072791473,-0.016219391153966825,-0.01097970357244757,-0.008463343455613717,-0.012296887783073663
Total; Estimate; AGE - 5 to 9 years,-0.017169716201566702,-0.018095287983215556,-0.004669250074997705,0.0005119100820810378,-0.009552852573213876
Total; Estimate; AGE - 10 to 14 years,-0.003143366860213718,0.006754999783063144,0.012291268624437095,0.019795138127410763,0.009524543300635416
Total; Estimate; AGE - 15 to 19 years,0.009869862487322878,0.011822654588899445,0.02179422419330212,0.02462326409723898,0.01767907699902535
Total; Estimate; AGE - 20 to 24 years,0.02124560946491263,0.018009534469845392,0.022953454680559402,0.008646301453593614,0.017859791865788517
Total; Estimate; AGE - 25 to 29 years,0.029232311422426122,0.030264099880939734,0.03187487335307256,0.008358623071745232,0.025020334602353762
Total; Estimate; AGE - 30 to 34 years,0.015054036361070985,0.010583906095943233,0.009158057586069187,-0.00038197331720560035,0.008470190727996386
Total; Estimate; AGE - 35 to 39 years,0.002048143575518908,-0.003830913052134644,-0.006263455213761898,-0.011317980897360478,-0.005174532846072216
Total; Estimate; AGE - 40 to 44 years,-0.01899255432888468,-0.012282689205733811,-0.017804996565811814,-0.01667443023582909,-0.01673769123161654
Total; Estimate; AGE - 45 to 49 years,0.001483842065646819,0.004133074926046543,0.0020604276593184216,0.009903836158349964,0.004579767230436404
Total; Estimate; AGE - 50 to 54 years,-0.03728378862488732,-0.03576455891170279,-0.04643506940758856,-0.032876819320129196,-0.038779574298564594
Total; Estimate; AGE - 55 to 59 years,-0.03363922305487487,-0.03453510945017532,-0.041915767937232735,-0.035642344474839875,-0.03715909074523195
Total; Estimate; AGE - 60 to 64 years,-0.033512567121383556,-0.039331133238468305,-0.04225226808925789,-0.034149083647950225,-0.03797410492576686
Total; Estimate; AGE - 65 to 69 years,0.0012989528643993218,0.0035109458163344073,0.003349543751921203,0.004382159854652744,0.003236476098078614
Total; Estimate; AGE - 70 to 74 years,0.031040278092292203,0.03812043017360696,0.02127045131823516,0.027111538340489006,0.02958704961182871
Total; Estimate; AGE - 75 to 79 years,0.0029956016584179496,-0.0035439331275470393,-0.006696904068023001,0.0009947335414295917,-0.0016660660631549916
Total; Estimate; AGE - 80 to 84 years,-0.0017029775499190908,-0.006338667592641459,-0.007096698835832626,0.0006545970275325263,-0.0036543014834933838
Total; Estimate; AGE - 85 years and over,0.007871164054111162,0.00656253139017098,0.009360818547457326,0.014242465180242038,0.009804953581415485
Total; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,-0.011923186255443578,-0.0065667791535082625,0.0045399043485895565,0.012069581617120514,6.323106870170882e-05
Total; Estimate; SELECTED AGE CATEGORIES - 15 to 17 years,0.015752579520805884,0.020802883599703625,0.03291785507580265,0.03307503627334572,0.026501513781944538
Total; Estimate; SELECTED AGE CATEGORIES - 18 to 24 years,0.015374224513315857,0.012030089076776312,0.01736221067059165,0.008419147598081616,0.013467620953001554
Total; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,0.028711818705136404,0.0268741806779251,0.031096668951927926,0.00939151545792764,0.024149181026318425
Total; Estimate; SELECTED AGE CATEGORIES - 16 years and over,0.012844273657644085,0.010059274631859544,-0.0006748224921548769,-0.006497583531790757,0.0035387265028528118
Total; Estimate; SELECTED AGE CATEGORIES - 18 years and over,0.007773915509838514,0.003951430897968842,-0.008486782164655359,-0.014159955450870548,-0.003298786697256661
Total; Estimate; SELECTED AGE CATEGORIES - 60 years and over,0.003280909726676905,0.0018525878632722943,-0.005143938801244257,0.00434328582442445,0.0010262763119439798
Total; Estimate; SELECTED AGE CATEGORIES - 62 years and over,0.011397419553398902,0.011807368915773268,0.004700742935063581,0.013984404428339559,0.010593912224162191
Total; Estimate; SELECTED AGE CATEGORIES - 65 years and over,0.015470087147200546,0.01589667933401122,0.00895295107456991,0.016822653739857345,0.014451355727120878
Total; Estimate; SELECTED AGE CATEGORIES - 75 years and over,0.003815966717898716,-0.0012297980442608377,-0.0014955458438677901,0.006863223884597445,0.002064387720700629
Total; Estimate; PERCENT IMPUTED - Sex,-0.017754206267565985,-0.026058026923653475,-0.0258629571836103,-0.02072157315869393,-0.023020269681779636
Total; Estimate; PERCENT IMPUTED - Age,-0.047432459246907366,-0.04876002696970944,-0.05049925769819977,-0.04319317234201413,-0.04820238045863752
