MonthYear,Date,Year,Hour,CensusTract_2010,NumberOfReports,CensusTract_2010_ID,CensusTract_2010_NAME,CountyName_2010,GEOID_list,CensusBlockID_list,Zipcode_list,Ticket_list
February-2020,02/14/2020,2020,12 AM,113.0,1,11300,Census Tract 113,New York County,[360610113001008],[1008],[10018],['ML20002507']
February-2020,02/13/2020,2020,12 AM,103.0,1,10300,Census Tract 103,Queens County,[360810103002002],[2002],[11105],['QL20001507']
February-2020,02/13/2020,2020,09 AM,161.0,1,16100,Census Tract 161,New York County,[360610161001000],[1000],[10024],['ML20002440']
February-2020,02/13/2020,2020,10 AM,22.02,1,2202,Census Tract 22.02,New York County,[360610022021001],[1001],[10003],['ML20002448']
February-2020,02/13/2020,2020,10 AM,127.0,1,12700,Census Tract 127,New York County,[360610127005000],[5000],[10019],['ML20002449']
February-2020,02/13/2020,2020,11 AM,8.0,1,800,Census Tract 8,New York County,[360610008001000],[1000],[10002],['ML20002460']
February-2020,02/13/2020,2020,11 AM,39.0,1,3900,Census Tract 39,New York County,[360610039001015],[1015],[10013],['ML20002466']
February-2020,02/13/2020,2020,04 PM,108.0,1,10800,Census Tract 108,New York County,[360610108002000],[2000],[10022],['ML20002486']
February-2020,02/13/2020,2020,06 PM,100.0,1,10000,Census Tract 100,New York County,[360610100002000],[2000],[10022],['ML20002495']
February-2020,02/13/2020,2020,06 AM,1529.02,1,152902,Census Tract 1529.02,Queens County,[360811529023000],[3000],[11362],['QL20001513']
February-2020,02/13/2020,2020,08 AM,78.0,1,7800,Census Tract 78,Westchester County,[361190078003001],[3001],[10573],['WL20002035']
February-2020,02/13/2020,2020,09 AM,75.0,1,7500,Census Tract 75,Westchester County,[361190075002002],[2002],[10580],['WL20002041']
February-2020,02/13/2020,2020,01 PM,111.01,1,11101,Census Tract 111.01,Westchester County,[361190111011007],[1007],[10591],['WL20002052']
February-2020,02/13/2020,2020,02 PM,94.0,1,9400,Census Tract 94,Westchester County,[361190094003017],[3017],[10605],['WL20002057']
February-2020,02/13/2020,2020,07 PM,21.01,1,2101,Census Tract 21.01,Westchester County,[361190021012008],[2008],[10710],['WL20002072']
February-2020,02/13/2020,2020,09 AM,274.02,1,27402,Census Tract 274.02,Bronx County,[360050274022002],[2002],[10465],['XL20002225']
February-2020,02/12/2020,2020,11 AM,135.0,1,13500,Census Tract 135,New York County,[360610135001006],[1006],[10019],['ML20002385']
February-2020,02/12/2020,2020,03 PM,84.0,1,8400,Census Tract 84,New York County,[360610084002002],[2002],[10018],['ML20002402']
February-2020,02/12/2020,2020,10 AM,7.0,1,700,Census Tract 7,Queens County,[360810007003008],[3008],[11101],['QL20001481']
February-2020,02/12/2020,2020,11 AM,1039.0,1,103900,Census Tract 1039,Queens County,[360811039003004],[3004],[11357],['QL20001484']
February-2020,02/12/2020,2020,11 AM,117.0,1,11700,Census Tract 117,Queens County,[360810117004001],[4001],[11105],['QL20001485']
February-2020,02/12/2020,2020,01 PM,997.01,1,99701,Census Tract 997.01,Queens County,[360810997011005],[1005],[11357],['QL20001492']
February-2020,02/12/2020,2020,03 PM,1227.01,1,122701,Census Tract 1227.01,Queens County,[360811227014000],[4000],[11365],['QL20001497']
February-2020,02/12/2020,2020,08 AM,50.02,1,5002,Census Tract 50.02,Westchester County,[361190050022008],[2008],[10709],['WL20001987']
February-2020,02/12/2020,2020,08 AM,24.03,1,2403,Census Tract 24.03,Westchester County,[361190024033000],[3000],[10704],['WL20001989']
February-2020,02/12/2020,2020,09 AM,127.0,1,12700,Census Tract 127,Westchester County,[361190127004024],[4024],[10506],['WL20001996']
February-2020,02/12/2020,2020,11 AM,146.07,1,14607,Census Tract 146.07,Westchester County,[361190146072012],[2012],[10567],['WL20002004']
February-2020,02/12/2020,2020,11 AM,114.0,1,11400,Census Tract 114,Westchester County,[361190114004018],[4018],[10591],['WL20002007']
February-2020,02/12/2020,2020,11 AM,108.01,1,10801,Census Tract 108.01,Westchester County,[361190108012021],[2021],[10583],['WL20002009']
February-2020,02/12/2020,2020,01 PM,146.07,1,14607,Census Tract 146.07,Westchester County,[361190146072025],[2025],[10567],['WL20002015']
February-2020,02/12/2020,2020,01 PM,115.0,1,11500,Census Tract 115,Westchester County,[361190115001026],[1026],[10591],['WL20002017']
February-2020,02/12/2020,2020,02 PM,83.01,1,8301,Census Tract 83.01,Westchester County,[361190083011004],[1004],[10573],['WL20002019']
February-2020,02/12/2020,2020,02 PM,112.0,1,11200,Census Tract 112,Westchester County,[361190112002040],[2040],[10523],['WL20002021']
February-2020,02/12/2020,2020,03 PM,112.0,1,11200,Census Tract 112,Westchester County,[361190112002040],[2040],[10523],['WL20002022']
February-2020,02/12/2020,2020,09 AM,194.0,1,19400,Census Tract 194,Bronx County,[360050194001002],[1002],[10465],['XL20002172']
February-2020,02/12/2020,2020,10 AM,274.01,1,27401,Census Tract 274.01,Bronx County,[360050274013009],[3009],[10465],['XL20002175']
February-2020,02/12/2020,2020,10 AM,288.0,1,28800,Census Tract 288,Bronx County,[360050288002002],[2002],[10461],['XL20002176']
February-2020,02/12/2020,2020,12 PM,516.0,1,51600,Census Tract 516,Bronx County,[360050516002006],[2006],[10464],['XL20002185']
February-2020,02/11/2020,2020,01 AM,139.0,1,13900,Census Tract 139,Westchester County,[361190139004024],[4024],[10520],['WL20001928']
February-2020,02/11/2020,2020,09 AM,271.0,1,27100,Census Tract 271,New York County,[360610271002003],[2003],[10033],['ML20002315']
February-2020,02/11/2020,2020,10 AM,40.0,1,4000,Census Tract 40,New York County,[360610040006000],[6000],[10003],['ML20002323']
February-2020,02/11/2020,2020,11 AM,104.0,1,10400,Census Tract 104,New York County,[360610104001002],[1002],[10019],['ML20002327']
February-2020,02/11/2020,2020,12 PM,104.0,1,10400,Census Tract 104,New York County,[360610104001002],[1002],[10019],['ML20002334']
February-2020,02/11/2020,2020,02 PM,33.0,1,3300,Census Tract 33,New York County,[360610033003022],[3022],[10013],['ML20002339']
February-2020,02/11/2020,2020,02 PM,102.0,1,10200,Census Tract 102,New York County,[360610102001005],[1005],[10022],['ML20002341']
