TicketNumber,Latitude,Longitude,Zip,ClassificationType,CensusTract,CensusBlock,CountyName,Date,Time,Hour
ML19001225,40.75402,-73.97419,10017,M,92,1003,New York County,01/21/2019,09:15 PM,09 PM
ML19003831,40.77168,-73.97763,10023,M,143,1040,New York County,03/07/2019,08:40 AM,08 AM
ML19004663,40.75472,-73.97591,10017,M,92,1005,New York County,03/21/2019,07:38 PM,07 PM
ML19005447,40.80325,-73.96749,10025,M,195,1005,New York County,04/04/2019,02:50 PM,02 PM
ML19006608,40.78175,-73.96026,10028,P,143,1024,New York County,04/27/2019,10:15 AM,10 AM
ML19007355,40.71182,-74.00827,10007,M,21,1011,New York County,05/11/2019,12:06 AM,12 AM
ML19008617,40.75372,-73.97743,10017,M,94,1008,New York County,06/04/2019,08:19 AM,08 AM
ML19008706,40.79219,-73.94255,10029,M,170,1000,New York County,06/05/2019,12:55 PM,12 PM
ML19009693,40.70516,-74.00999,10005,P,9,1000,New York County,06/22/2019,08:01 PM,08 PM
ML19010411,40.73267,-73.9816,10003,M,48,5000,New York County,07/09/2019,03:04 PM,03 PM
ML19010899,40.74312,-74.00274,10011,M,89,2001,New York County,07/19/2019,10:51 AM,10 AM
ML19011112,40.83157,-73.94299,10032,M,237,3000,New York County,07/24/2019,09:44 AM,09 AM
ML19011870,40.77721,-73.95226,10028,P,146.01,1000,New York County,08/08/2019,11:30 AM,11 AM
ML19012341,40.78889,-73.97042,10024,M,173,3000,New York County,08/16/2019,05:27 PM,05 PM
ML19012851,40.75385,-73.9738,10017,M,92,1012,New York County,08/26/2019,10:30 AM,10 AM
ML19013467,40.70516,-74.00999,10005,P,9,1000,New York County,09/05/2019,07:40 PM,07 PM
ML19013839,40.76297,-73.97188,10022,P,112.02,1001,New York County,09/09/2019,08:50 PM,08 PM
ML19013954,40.75658,-73.98614,10036,P,119,1004,New York County,09/11/2019,06:13 PM,06 PM
ML19014071,40.74166,-74.00113,10011,M,81,2001,New York County,09/13/2019,05:52 PM,05 PM
ML19014455,40.7238,-73.98564,10009,M,32,4000,New York County,09/19/2019,03:12 PM,03 PM
ML19015054,40.76061,-73.96434,10022,P,110,3002,New York County,09/30/2019,06:05 PM,06 PM
ML19015932,40.76709,-73.96662,10065,P,120,3000,New York County,10/14/2019,07:09 PM,07 PM
ML19016313,40.76059,-73.96938,10022,P,112.03,2002,New York County,10/20/2019,03:37 PM,03 PM
ML19016353,40.77316,-73.9819,10023,P,149,2000,New York County,10/21/2019,11:06 AM,11 AM
ML19016580,40.76931,-73.96363,10021,P,120,4001,New York County,10/24/2019,10:59 AM,10 AM
ML19016698,40.7623,-73.97236,10022,P,112.02,1002,New York County,10/25/2019,08:39 PM,08 PM
ML19016971,40.82015,-73.94952,10031,M,217.03,1004,New York County,10/30/2019,10:25 AM,10 AM
ML19017160,40.70933,-74.00187,10038,P,15.01,3002,New York County,11/02/2019,10:05 AM,10 AM
ML19017533,40.73597,-73.99567,10011,M,63,1000,New York County,11/07/2019,12:54 PM,12 PM
ML19017625,40.751,-73.98778,10018,M,109,1007,New York County,11/08/2019,02:36 PM,02 PM
ML19017662,40.71472,-73.99198,10002,M,16,5006,New York County,11/09/2019,09:40 AM,09 AM
ML19017863,40.74612,-73.97993,10016,P,72,2000,New York County,11/12/2019,08:27 PM,08 PM
ML19018126,40.84209,-73.92623,10452,M,201,3000,Bronx County,11/17/2019,12:11 AM,12 AM
ML19018255,40.78684,-73.94526,10029,M,164,3005,New York County,11/19/2019,09:40 AM,09 AM
ML19018685,40.77099,-73.96762,10021,M,122,4000,New York County,11/25/2019,10:01 PM,10 PM
ML19018711,40.73424,-73.99975,10014,M,71,4004,New York County,11/26/2019,10:38 AM,10 AM
ML19018928,40.75118,-73.98775,10018,M,109,1007,New York County,11/30/2019,04:29 PM,04 PM
ML19018965,40.79983,-73.94612,10029,M,184,2001,New York County,12/01/2019,12:46 PM,12 PM
ML19019045,40.78267,-73.98324,10023,P,163,2000,New York County,12/03/2019,08:13 AM,08 AM
ML19019101,40.76531,-73.96384,10065,M,118,7000,New York County,12/04/2019,08:02 AM,08 AM
ML19019205,40.82821,-73.94676,10031,M,233,2000,New York County,12/05/2019,10:55 PM,10 PM
ML19019215,40.77053,-73.96844,10065,M,143,1033,New York County,12/06/2019,10:49 AM,10 AM
ML19019260,40.7659,-73.98497,10019,P,139,4000,New York County,12/06/2019,09:11 PM,09 PM
ML19019294,40.77507,-73.9823,10023,P,153.02,3001,New York County,12/07/2019,03:06 PM,03 PM
QL18004912,40.75644,-73.80735,11358,M,1199,1000,Queens County,06/27/2018,02:50 PM,02 PM
QL18008408,40.78152,-73.81713,11357,M,1039,2009,Queens County,11/09/2018,08:30 AM,08 AM
QL19000266,40.78369,-73.81743,11357,P,1039,2002,Queens County,01/04/2019,02:32 PM,02 PM
QL19002795,40.75786,-73.83412,11354,M,871,1001,Queens County,04/11/2019,08:40 PM,08 PM
QL19003739,40.71248,-74.0062,10007,M,31,1022,New York County,05/22/2019,10:36 AM,10 AM
QL19003872,40.73169,-73.82568,11367,M,809,3000,Queens County,05/30/2019,12:32 PM,12 PM
QL19004060,40.72929,-73.72616,11426,P,1621,4001,Queens County,06/07/2019,10:48 AM,10 AM
QL19004565,40.75052,-73.7938,11358,M,1417,1000,Queens County,06/26/2019,11:45 AM,11 AM
QL19006042,40.76377,-73.78737,11358,M,1139,2011,Queens County,08/30/2019,08:22 AM,08 AM
QL19006050,40.77394,-73.79238,11358,M,997.01,2011,Queens County,08/30/2019,11:43 AM,11 AM
QL19006350,40.75066,-73.78429,11365,M,1429,4000,Queens County,09/09/2019,01:27 PM,01 PM
QL19006654,40.75768,-73.78011,11361,M,1463,1012,Queens County,09/17/2019,02:50 PM,02 PM
QL19006671,40.76396,-73.79784,11358,M,1175,1005,Queens County,09/18/2019,11:40 AM,11 AM
QL19006735,40.7664,-73.73538,11362,M,1507.02,1006,Queens County,09/20/2019,05:42 PM,05 PM
QL19006794,40.78726,-73.84473,11356,M,947,2004,Queens County,09/23/2019,12:28 PM,12 PM
QL19006833,40.77905,-73.909,11105,M,111,1001,Queens County,09/24/2019,09:06 PM,09 PM
QL19006866,40.75589,-73.79377,11358,M,1459,1002,Queens County,09/25/2019,06:38 PM,06 PM
QL19007058,40.77006,-73.8457,11354,P,907,1029,Queens County,10/02/2019,01:02 PM,01 PM
QL19007363,40.74771,-73.77475,11364,M,1409.01,1008,Queens County,10/14/2019,10:16 AM,10 AM
QL19007441,40.74665,-73.71763,11004,M,1551.04,4004,Queens County,10/16/2019,10:02 AM,10 AM
QL19007859,40.74645,-73.82433,11355,P,799,1005,Queens County,10/26/2019,11:55 AM,11 AM
QL19008127,40.76013,-73.77501,11361,P,1467,3006,Queens County,11/03/2019,03:11 PM,03 PM
QL19008248,40.74726,-73.71899,11004,M,1551.03,5003,Queens County,11/06/2019,11:28 AM,11 AM
QL19008283,40.74348,-73.87057,11373,M,463,2003,Queens County,11/07/2019,08:15 AM,08 AM
