MonthYear,CensusTract,TotalReports
January-2019,92.0,1
January-2019,1039.0,1
January-2019,113.0,1
January-2019,40.02,1
January-2019,127.0,1
January-2019,57.04,1
January-2019,67.0,1
January-2019,73.0,1
January-2019,151.0,1
March-2019,143.0,1
March-2019,92.0,1
March-2019,9.0,1
March-2019,74.02,1
March-2019,24.03,1
March-2019,17.02,1
April-2019,195.0,1
April-2019,143.0,1
April-2019,871.0,1
April-2019,67.0,1
April-2019,68.01,1
April-2019,319.0,1
May-2019,21.0,1
May-2019,31.0,1
May-2019,809.0,1
May-2019,80.0,1
May-2019,17.02,1
May-2019,81.0,1
May-2019,41.0,1
May-2019,69.0,1
May-2019,68.0,1
June-2019,94.0,1
June-2019,170.0,1
June-2019,9.0,1
June-2019,1621.0,1
June-2019,1417.0,1
June-2019,74.01,2
June-2019,114.02,1
June-2019,81.0,1
June-2019,132.01,1
June-2019,13.02,1
June-2019,137.0,1
June-2019,77.0,1
June-2019,126.01,1
July-2019,48.0,1
July-2019,89.0,1
July-2019,237.0,1
July-2019,50.02,1
July-2019,69.0,1
July-2019,131.02,1
July-2019,113.0,1
July-2019,121.01,1
July-2019,104.0,1
July-2019,83.02,1
July-2019,106.0,1
July-2019,398.0,1
August-2019,146.01,1
August-2019,173.0,1
August-2019,92.0,1
August-2019,1139.0,1
August-2019,997.01,1
August-2019,113.0,1
August-2019,97.02,1
August-2019,90.0,1
August-2019,131.04,1
August-2019,148.08,1
August-2019,41.0,1
August-2019,68.02,1
August-2019,4.03,1
August-2019,74.01,1
August-2019,95.0,1
August-2019,22.01,1
August-2019,87.0,1
September-2019,9.0,1
September-2019,112.02,1
September-2019,119.0,1
September-2019,81.0,1
September-2019,32.0,1
September-2019,110.0,1
September-2019,1429.0,1
September-2019,1463.0,1
September-2019,1175.0,1
September-2019,1507.02,1
September-2019,947.0,1
September-2019,111.0,1
September-2019,1459.0,1
September-2019,67.0,1
September-2019,113.0,2
September-2019,91.0,1
September-2019,72.0,2
September-2019,76.0,1
September-2019,47.0,1
September-2019,103.0,1
September-2019,132.01,1
September-2019,131.04,1
September-2019,114.01,1
September-2019,13.05,1
September-2019,35.0,1
October-2019,120.0,2
October-2019,112.03,1
October-2019,149.0,1
October-2019,112.02,1
October-2019,217.03,1
October-2019,907.0,1
October-2019,1409.01,1
October-2019,1551.04,1
October-2019,799.0,1
October-2019,67.0,1
October-2019,83.02,4
October-2019,109.02,1
October-2019,50.02,1
October-2019,131.04,1
October-2019,13.02,1
October-2019,22.04,1
October-2019,97.02,1
October-2019,68.02,1
October-2019,54.0,1
October-2019,39.0,1
October-2019,100.0,1
October-2019,63.02,1
October-2019,79.0,1
October-2019,403.03,1
October-2019,216.0,1
November-2019,15.01,1
November-2019,63.0,1
November-2019,109.0,2
November-2019,16.0,1
November-2019,72.0,1
November-2019,201.0,1
November-2019,164.0,1
November-2019,122.0,1
November-2019,71.0,1
November-2019,1467.0,1
November-2019,1551.03,2
November-2019,463.0,1
November-2019,1399.0,1
November-2019,1347.02,1
November-2019,1113.0,1
November-2019,1409.01,1
November-2019,1291.02,1
November-2019,1551.04,1
November-2019,1277.0,1
November-2019,803.02,1
November-2019,1205.0,1
November-2019,1257.0,1
November-2019,945.0,1
November-2019,939.0,1
November-2019,67.0,2
November-2019,46.0,1
November-2019,100.0,2
November-2019,66.0,1
November-2019,80.0,1
November-2019,111.01,1
November-2019,68.01,2
November-2019,148.11,1
November-2019,45.0,2
November-2019,70.0,1
November-2019,21.05,1
November-2019,151.0,2
November-2019,68.02,3
November-2019,69.0,1
November-2019,114.01,2
November-2019,21.01,2
November-2019,119.02,1
November-2019,123.01,1
November-2019,89.01,1
November-2019,6.02,1
November-2019,65.0,1
November-2019,75.0,1
November-2019,63.01,1
November-2019,85.0,1
November-2019,76.0,1
November-2019,13.02,1
November-2019,83.02,1
November-2019,130.0,1
November-2019,14.02,1
November-2019,22.03,1
November-2019,132.01,1
November-2019,137.0,1
November-2019,102.0,1
November-2019,1417.0,2
November-2019,237.02,1
November-2019,63.02,1
November-2019,351.0,1
November-2019,143.0,1
November-2019,462.03,1
November-2019,318.0,1
November-2019,222.0,1
November-2019,34.0,1
November-2019,277.0,1
November-2019,96.0,1
November-2019,78.0,1
November-2019,1579.01,1
December-2019,184.0,1
December-2019,163.0,1
December-2019,118.0,1
December-2019,233.0,1
December-2019,143.0,1
December-2019,139.0,4
December-2019,153.02,1
December-2019,859.0,3
December-2019,1441.0,1
December-2019,1551.04,4
December-2019,1417.0,1
December-2019,1291.02,4
December-2019,1621.0,2
December-2019,1567.0,1
December-2019,1059.0,1
December-2019,1571.01,3
