TicketNumber,Latitude,Longitude,Zip,ClassificationType,CensusTract,CensusBlock,CountyName,Date,Time,Hour,CensusTract_2010,CensusBlock_2010,CountyName_2010,GEOID_2010,CensusTract_2010_ID,CensusTract_2010_NAME,CensusBlock_2010_ID,CensusBlock_2010_NAME
ML19001225,40.754020000000004,-73.97419000000001,10017,M,92.0,1003,New York County,01/21/2019,09:15 PM,09 PM,92,1003,New York County,360610092001003,009200,Census Tract 92,1003,Block 1003
ML19003831,40.771679999999996,-73.97763,10023,M,143.0,1040,New York County,03/07/2019,08:40 AM,08 AM,143,1040,New York County,360610143001040,014300,Census Tract 143,1040,Block 1040
ML19004663,40.75472,-73.97591,10017,M,92.0,1005,New York County,03/21/2019,07:38 PM,07 PM,92,1005,New York County,360610092001005,009200,Census Tract 92,1005,Block 1005
ML19005447,40.80325,-73.96749,10025,M,195.0,1005,New York County,04/04/2019,02:50 PM,02 PM,195,1005,New York County,360610195001005,019500,Census Tract 195,1005,Block 1005
ML19006608,40.78175,-73.96025999999999,10028,P,143.0,1024,New York County,04/27/2019,10:15 AM,10 AM,143,1024,New York County,360610143001024,014300,Census Tract 143,1024,Block 1024
ML19007355,40.71182,-74.00827,10007,M,21.0,1011,New York County,05/11/2019,12:06 AM,12 AM,21,1011,New York County,360610021001011,002100,Census Tract 21,1011,Block 1011
ML19008617,40.75372,-73.97743,10017,M,94.0,1008,New York County,06/04/2019,08:19 AM,08 AM,94,1008,New York County,360610094001008,009400,Census Tract 94,1008,Block 1008
ML19008706,40.792190000000005,-73.94255,10029,M,170.0,1000,New York County,06/05/2019,12:55 PM,12 PM,170,1000,New York County,360610170001000,017000,Census Tract 170,1000,Block 1000
ML19009693,40.70516,-74.00999,10005,P,9.0,1000,New York County,06/22/2019,08:01 PM,08 PM,9,1000,New York County,360610009001000,000900,Census Tract 9,1000,Block 1000
ML19010411,40.73267,-73.9816,10003,M,48.0,5000,New York County,07/09/2019,03:04 PM,03 PM,48,5000,New York County,360610048005000,004800,Census Tract 48,5000,Block 5000
ML19010899,40.743120000000005,-74.00274,10011,M,89.0,2001,New York County,07/19/2019,10:51 AM,10 AM,89,2001,New York County,360610089002001,008900,Census Tract 89,2001,Block 2001
ML19011112,40.83157,-73.94299000000001,10032,M,237.0,3000,New York County,07/24/2019,09:44 AM,09 AM,237,3000,New York County,360610237003000,023700,Census Tract 237,3000,Block 3000
ML19011870,40.77721,-73.95226,10028,P,146.01,1000,New York County,08/08/2019,11:30 AM,11 AM,146.01,1000,New York County,360610146011000,014601,Census Tract 146.01,1000,Block 1000
ML19012341,40.78889,-73.97041999999999,10024,M,173.0,3000,New York County,08/16/2019,05:27 PM,05 PM,173,3000,New York County,360610173003000,017300,Census Tract 173,3000,Block 3000
ML19012851,40.75385,-73.9738,10017,M,92.0,1012,New York County,08/26/2019,10:30 AM,10 AM,92,1012,New York County,360610092001012,009200,Census Tract 92,1012,Block 1012
ML19013467,40.70516,-74.00999,10005,P,9.0,1000,New York County,09/05/2019,07:40 PM,07 PM,9,1000,New York County,360610009001000,000900,Census Tract 9,1000,Block 1000
ML19013839,40.76297,-73.97188,10022,P,112.02,1001,New York County,09/09/2019,08:50 PM,08 PM,112.02,1001,New York County,360610112021001,011202,Census Tract 112.02,1001,Block 1001
ML19013954,40.75658,-73.98614,10036,P,119.0,1004,New York County,09/11/2019,06:13 PM,06 PM,119,1004,New York County,360610119001004,011900,Census Tract 119,1004,Block 1004
ML19014071,40.741659999999996,-74.00113,10011,M,81.0,2001,New York County,09/13/2019,05:52 PM,05 PM,81,2001,New York County,360610081002001,008100,Census Tract 81,2001,Block 2001
ML19014455,40.7238,-73.98564,10009,M,32.0,4000,New York County,09/19/2019,03:12 PM,03 PM,32,4000,New York County,360610032004000,003200,Census Tract 32,4000,Block 4000
ML19015054,40.76061,-73.96434,10022,P,110.0,3002,New York County,09/30/2019,06:05 PM,06 PM,110,3002,New York County,360610110003002,011000,Census Tract 110,3002,Block 3002
ML19015932,40.76709,-73.96661999999999,10065,P,120.0,3000,New York County,10/14/2019,07:09 PM,07 PM,120,3000,New York County,360610120003000,012000,Census Tract 120,3000,Block 3000
ML19016313,40.76059,-73.96938,10022,P,112.03,2002,New York County,10/20/2019,03:37 PM,03 PM,112.03,2002,New York County,360610112032002,011203,Census Tract 112.03,2002,Block 2002
ML19016353,40.77316,-73.9819,10023,P,149.0,2000,New York County,10/21/2019,11:06 AM,11 AM,149,2000,New York County,360610149002000,014900,Census Tract 149,2000,Block 2000
ML19016580,40.76931,-73.96363000000001,10021,P,120.0,4001,New York County,10/24/2019,10:59 AM,10 AM,120,4001,New York County,360610120004001,012000,Census Tract 120,4001,Block 4001
ML19016698,40.7623,-73.97236,10022,P,112.02,1002,New York County,10/25/2019,08:39 PM,08 PM,112.02,1002,New York County,360610112021002,011202,Census Tract 112.02,1002,Block 1002
ML19016971,40.82015,-73.94951999999999,10031,M,217.03,1004,New York County,10/30/2019,10:25 AM,10 AM,217.03,1004,New York County,360610217031004,021703,Census Tract 217.03,1004,Block 1004
ML19017160,40.70933,-74.00187,10038,P,15.01,3002,New York County,11/02/2019,10:05 AM,10 AM,15.01,2003,New York County,360610015012003,001501,Census Tract 15.01,2003,Block 2003
ML19017533,40.73597,-73.99566999999999,10011,M,63.0,1000,New York County,11/07/2019,12:54 PM,12 PM,63,1000,New York County,360610063001000,006300,Census Tract 63,1000,Block 1000
ML19017625,40.751,-73.98778,10018,M,109.0,1007,New York County,11/08/2019,02:36 PM,02 PM,109,1007,New York County,360610109001007,010900,Census Tract 109,1007,Block 1007
ML19017662,40.71472,-73.99198,10002,M,16.0,5006,New York County,11/09/2019,09:40 AM,09 AM,16,5006,New York County,360610016005006,001600,Census Tract 16,5006,Block 5006
ML19017863,40.74612,-73.97993000000001,10016,P,72.0,2000,New York County,11/12/2019,08:27 PM,08 PM,72,2000,New York County,360610072002000,007200,Census Tract 72,2000,Block 2000
ML19018126,40.84209,-73.92623,10452,M,201.0,3000,Bronx County,11/17/2019,12:11 AM,12 AM,201,3000,Bronx County,360050201003000,020100,Census Tract 201,3000,Block 3000
ML19018255,40.786840000000005,-73.94526,10029,M,164.0,3005,New York County,11/19/2019,09:40 AM,09 AM,164,3005,New York County,360610164003005,016400,Census Tract 164,3005,Block 3005
ML19018685,40.770990000000005,-73.96762,10021,M,122.0,4000,New York County,11/25/2019,10:01 PM,10 PM,122,4000,New York County,360610122004000,012200,Census Tract 122,4000,Block 4000
ML19018711,40.73424,-73.99975,10014,M,71.0,4004,New York County,11/26/2019,10:38 AM,10 AM,71,4004,New York County,360610071004004,007100,Census Tract 71,4004,Block 4004
ML19018928,40.75118,-73.98775,10018,M,109.0,1007,New York County,11/30/2019,04:29 PM,04 PM,109,1007,New York County,360610109001007,010900,Census Tract 109,1007,Block 1007
ML19018965,40.79983,-73.94612,10029,M,184.0,2001,New York County,12/01/2019,12:46 PM,12 PM,184,2001,New York County,360610184002001,018400,Census Tract 184,2001,Block 2001
ML19019045,40.78267,-73.98324000000001,10023,P,163.0,2000,New York County,12/03/2019,08:13 AM,08 AM,163,2000,New York County,360610163002000,016300,Census Tract 163,2000,Block 2000
ML19019101,40.76531,-73.96384,10065,M,118.0,7000,New York County,12/04/2019,08:02 AM,08 AM,118,7000,New York County,360610118007000,011800,Census Tract 118,7000,Block 7000
ML19019205,40.82821,-73.94676,10031,M,233.0,2000,New York County,12/05/2019,10:55 PM,10 PM,233,2000,New York County,360610233002000,023300,Census Tract 233,2000,Block 2000
ML19019215,40.77053,-73.96844,10065,M,143.0,1033,New York County,12/06/2019,10:49 AM,10 AM,143,1033,New York County,360610143001033,014300,Census Tract 143,1033,Block 1033
ML19019260,40.7659,-73.98496999999999,10019,P,139.0,4000,New York County,12/06/2019,09:11 PM,09 PM,139,4000,New York County,360610139004000,013900,Census Tract 139,4000,Block 4000
ML19019294,40.77507,-73.9823,10023,P,153.02,3001,New York County,12/07/2019,03:06 PM,03 PM,153,3001,New York County,360610153003001,015300,Census Tract 153,3001,Block 3001
QL18004912,40.756440000000005,-73.80735,11358,M,1199.0,1000,Queens County,06/27/2018,02:50 PM,02 PM,1199,1000,Queens County,360811199001000,119900,Census Tract 1199,1000,Block 1000
QL18008408,40.78152,-73.81713,11357,M,1039.0,2009,Queens County,11/09/2018,08:30 AM,08 AM,1039,2009,Queens County,360811039002009,103900,Census Tract 1039,2009,Block 2009
QL19000266,40.78369,-73.81743,11357,P,1039.0,2002,Queens County,01/04/2019,02:32 PM,02 PM,1039,2002,Queens County,360811039002002,103900,Census Tract 1039,2002,Block 2002
QL19002795,40.75786,-73.83412,11354,M,871.0,1001,Queens County,04/11/2019,08:40 PM,08 PM,871,1001,Queens County,360810871001001,087100,Census Tract 871,1001,Block 1001
QL19003739,40.71248,-74.0062,10007,M,31.0,1022,New York County,05/22/2019,10:36 AM,10 AM,31,1022,New York County,360610031001022,003100,Census Tract 31,1022,Block 1022
QL19003872,40.73169,-73.82568,11367,M,809.0,3000,Queens County,05/30/2019,12:32 PM,12 PM,809,3000,Queens County,360810809003000,080900,Census Tract 809,3000,Block 3000
QL19004060,40.72929,-73.72616,11426,P,1621.0,4001,Queens County,06/07/2019,10:48 AM,10 AM,1621,4001,Queens County,360811621004001,162100,Census Tract 1621,4001,Block 4001
QL19004565,40.75052,-73.7938,11358,M,1417.0,1000,Queens County,06/26/2019,11:45 AM,11 AM,1417,1000,Queens County,360811417001000,141700,Census Tract 1417,1000,Block 1000
QL19006042,40.76377,-73.78737,11358,M,1139.0,2011,Queens County,08/30/2019,08:22 AM,08 AM,1139,2011,Queens County,360811139002011,113900,Census Tract 1139,2011,Block 2011
QL19006050,40.77394,-73.79238000000001,11358,M,997.01,2011,Queens County,08/30/2019,11:43 AM,11 AM,997.01,2011,Queens County,360810997012011,099701,Census Tract 997.01,2011,Block 2011
QL19006350,40.750659999999996,-73.78429,11365,M,1429.0,4000,Queens County,09/09/2019,01:27 PM,01 PM,1429,4000,Queens County,360811429004000,142900,Census Tract 1429,4000,Block 4000
QL19006654,40.75768,-73.78011,11361,M,1463.0,1012,Queens County,09/17/2019,02:50 PM,02 PM,1463,1012,Queens County,360811463001012,146300,Census Tract 1463,1012,Block 1012
QL19006671,40.76396,-73.79784000000001,11358,M,1175.0,1005,Queens County,09/18/2019,11:40 AM,11 AM,1175,1005,Queens County,360811175001005,117500,Census Tract 1175,1005,Block 1005
QL19006735,40.7664,-73.73538,11362,M,1507.02,1006,Queens County,09/20/2019,05:42 PM,05 PM,1507.02,1006,Queens County,360811507021006,150702,Census Tract 1507.02,1006,Block 1006
